Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date)
"4,15",Swedbank,3 månader,"11 216","2,1 mkr",Mars 2012
"3,75",Länsförsäkringar,3 månader,"11 216",4000000,April 2012
"4,14",SBAB,3 månader,"11 217",,
"3,47",Handelsbanken,2 år,"11218","2,5 mkr",December 2011
"3,3",Swedbank,2 år,"11218",,
"3,36",SEB,3 månader,"11 218",,
"3,3",Handelsbanken,2 år,"11218",,
"3,8",Nordea,3 månader,"11 218",,
"3,8",Nordea,3 månader,"11 218",,
"4,03",Handelsbanken,3 månader,"11 218",,
3,Handelsbanken,3 år,"11218",,
"4,24",Handelsbanken,3 månader,"11 218",,
"3,33",Handelsbanken,Rörlig,"11 218",,
"2,95",Handelsbanken,3 år,"11218",,
"3,21",SBAB,2 år,"11218","3,2 mkr",2011-08-01
"3,83",SEB,3 månader,"11 218",3 mkr,20120401
"3,29",SEB,1 år,"11218",900000,2011-07-01
"3,2",Länsförsäkringar,3 år,"11218","2,5",2012-02-01
"3,85",Swedbank,1 år,"11218",2,2011-11-30
"3,36",SEB,3 månader,"11218","2,72 mkr",2010-06-23
"3,86",SEB,3 månader,"11218","3,2 mkr",2011-12-22
"4,15",SEB,3 månader,"11218","1,4",February 2011
"3,26",SEB,3 månader,"11218",1000000,mars 2011
4,Swedbank,Rörlig,"11 218","1,8",2009
"3,95",Swedbank,3 månader,"11 219",585000,20120228
"3,59",SEB,3 månader,"11 219",2624000,120315
"3,01",SEB,2 år,"11219",4 mkr,2011-11-10
"3,51",SEB,3 månader,"11 219",350000,120321
"3,74",Swedbank,2 år,"11219","1,66 mkr",2010-12-12
"3,53",Swedbank,3 månader,"11 219","1,4 milj",20120401
"3,74",Swedbank,2 år,"11219","1,66",december 2010
"3,55",Nordea,2 år,"11220",,
"4,13",Handelsbanken,3 månader,"11 220",,
"3,31",SEB,Rörlig,"11 220",,
"3,87",Handelsbanken,3 månader,"11 220",,
"4,1",Nordea,3 månader,"11 220",,
"3,83",Handelsbanken,3 månader,"11 220",,
"3,15",SEB,1 år,"11220","4,8 mkr",2011-05-28
"3,32",Nordea,3 månader,"11 220","2,7 mkr",inte bundet
"3,26",SEB,3 månader,"11 220","2,9 mkr",100303
"3,6",SEB,Rörlig,"11 220","4,1",20070601
"3,91",SEB,3 månader,"11 220",1 mkr,Oktober 2009
"3,3",Danske Bank,Rörlig,"11 220","3,8 mkr",November 2011
"3,2",Danske Bank,2 år,"11220","2,4 mkr",November 2011
"4,4",SBAB,3 månader,"11 221",,
"3,86",SEB,3 månader,"11 221",,
"3,6",Swedbank,Rörlig,"11 221",,
"3,51",SEB,3 månader,"11 221",,
"3,55",SEB,Rörlig,"11 221",,
"3,4",Nordea,2 år,"11221",,
"3,29",SEB,Rörlig,"11 221",2750000,20101201
"3,74",SEB,3 månader,"11 221","2,3 mkr",20120202
"3,8",Nordea,3 månader,"11 221","3,6",120215
"3,98",SBAB,2 år,"11221","4,7 mkr",September 2010
"4,45",Swedbank,3 månader,"11 221",662500,3 månader/rörligt
"3,95",Swedbank,3 månader,"11 222",,
"3,45",Handelsbanken,2 år,"11222","1,45 mkr",2012-04-02
"3,4",Nordea,Rörlig,"11 222","2,7mkr",2011
"3,4",Nordea,Rörlig,"11 222","2,7mkr",2011
"3,42",SEB,3 månader,"11 222","2,2 mkr",Januari 2012
"3,35",SEB,1 år,"11223",,
"3,4",SEB,1 år,"11223",,
"3,3",Handelsbanken,3 år,"11223",,
"3,27",Swedbank,3 månader,"11 223","4,45 mkr",2012-03-28
"3,8",Skandiabanken,3 månader,"11 223","2,4",2012-02-29
"3,61",SEB,3 månader,"11 223","0,4 mkr",2012-03-21
"3,37",SEB,1 år,"11223","0,34 mkr",2012-03-28
"4,27",Handelsbanken,3 år,"11223",850 tkr,mars 2011
"3,06",Handelsbanken,3 år,"11223",850 tkr,september 2010
"3,6",Handelsbanken,5 år,"11223",875 tkr,September 2010
"4,17",Handelsbanken,3 månader,"11223",134274,september 2010
"4,03",Handelsbanken,3 månader,"11223",200 tkr,september 2010
"4,03",Handelsbanken,3 månader,"11223",200 tkr,september 2010
"3,8",Skandiabanken,Rörlig,"11 224",,
"3,6",Swedbank,3 månader,"11 224",,
"4,05",SBAB,Rörlig,"11 224",,
"3,6",Swedbank,3 månader,"11 224",,
"4,29",Handelsbanken,3 månader,"11 224",,
"2,65",Danske Bank,Rörlig,"11 224",,
"2,6",Danske Bank,2 år,"11224","1,8",111101
"3,5",Swedbank,3 månader,"11 224","1,4 mrk",2012-03-28
"3,56",SEB,3 månader,"11 224","2,65 mkr",210312
"3,35",Danske Bank,3 månader,"11 224","1,2 MKR",april 2012
"3,54",SEB,1 år,"11224","1,6 mkr",2012-04-28
"3,5",Swedbank,3 månader,"11 224","1,4",2012-03-28
"4,04",Handelsbanken,1 år,"11224","1,5",januari 2012
"4,24",Handelsbanken,1 år,"11224",1,januari 2012
"3,53",Handelsbanken,3 månader,"11 224","2,5 mkr",Okt 2011
"3,9",Nordea,1 år,"11224",858906,maj 2011
"3,92",Handelsbanken,3 månader,"11 225",,
"3,82",Handelsbanken,3 månader,"11 225",,
"4,76",SBAB,3 månader,"11 225",,
"4,17",Handelsbanken,Rörlig,"11 225",,
"3,97",SBAB,3 månader,"11 225",,
"3,9",Skandiabanken,Rörlig,"11 225",,
"3,99",SBAB,3 månader,"11 225","1,4 mkr",20120401
"3,78",Handelsbanken,2 år,"11225",1120000,2011-09-01
"3,69",SEB,uppdelat i tre olika delar,"11 225","1,58 mkr",2011-07-10
"3,76",SEB,Rörlig,"11 225",2,2012-03-20
"3,94",Nordea,3 månader,"11 226","2,6 mkr",2012-02-29
"4,13",SBAB,3 månader,"11 226",,
4,Länsförsäkringar,3 månader,"11 226",,
"4,12",Länsförsäkringar,3 månader,"11 226",,
4,Länsförsäkringar,3 månader,"11 226",,
"4,85",SBAB,7 år,"11226",,
"3,56",SEB,1 år,"11226",,
"3,41",SEB,Rörlig,"11 226",,
4,Nordea,3 månader,"11 226","1,8",2011-10-01
"3,7",Swedbank,Rörlig,"11 226","1,680 mkr",Rörligt
"3,45",Nordea,Rörlig,"11 226","2,6",101205
4,SBAB,Rörlig,"11 227",,
"3,33",Handelsbanken,2 år,"11227",,
"3,6",Danske Bank,Rörlig,"11 227",,
"3,56",SEB,3 månader,"11227",,
"3,74",Swedbank,3 år,"11228",,
"3,56",SEB,3 månader,"11228",,
"4,13",Handelsbanken,Rörlig,"11 228",,
"4,29",Handelsbanken,Rörlig,"11 228",,
"3,55",Swedbank,3 månader,"11 228",,
"3,5",Handelsbanken,1 år,"11228","1,42 mkr",120229
"3,4",Handelsbanken,2 år,"11228","2,8",2012-03-20
"3,8",Swedbank,Rörlig,"11 228","1,5",1111120
"3,7",Skandiabanken,3 månader,"11 228","4,3 mkr",20120401
"4,1",Nordea,3 månader,"11 228",150000,110901
"4,14",Nordea,2 år,"11228",250000,110327
"3,57",SBAB,2 år,"11228","0,9 mkr",101206
"3,36",SEB,1 år,"11228","2,5 mkr",2012-03-01
"3,45",Swedbank,3 månader,"11 228",1100000,2011-05-01
"2,75",SEB,1 år,"11228","3,9",okt 2011
"3,7",Handelsbanken,2 år,"11229",,
"3,75",SEB,3 månader,"11 229",,
"4,13",Handelsbanken,3 månader,"11 229",,
"3,6",Nordea,3 månader,"11 229","2,19 Mkr",2011-09-01
"4,18",Handelsbanken,3 månader,"11 229",985200,2012-02-01
"4,18",Handelsbanken,3 månader,"11 229",985200,2012-02-01
"4,08",Handelsbanken,3 månader,"11 229",985000,2012-02-01
"3,25",Danske Bank,3 månader,"11 229","3,6 mkr",2011-06-10
"4,22",Handelsbanken,3 månader,"11 229",3,2012-03-01
"3,49",Handelsbanken,1 år,"11229","3,1",110801
"3,71",SEB,3 månader,"11 229",100000,2011-11-01
"3,45",Danske Bank,Rörlig,"11 229","3,3mkr",2010-05-01
"3,36",SEB,3 månader,"11 229","4,3 mkr",20120301
"4,09",SBAB,3 månader,"11 230",,
"3,98",Skandiabanken,3 månader,"11 230",,
"3,98",Skandiabanken,3 månader,"11 230",,
"3,99",Skandiabanken,3 månader,"11 230",,
"3,73",Handelsbanken,3 månader,"11 230","2,2 mkr",2012-04-01
"3,5",Danske Bank,Rörlig,"11 230",3 mkr,120201
"3,55",Danske Bank,Rörlig,"11 230",2mkr,2012-04-02
"3,44",Handelsbanken,2 år,"11230",16400000,200120401
"3,4",Danske Bank,Rörlig,"11 230","2,4",2011-05-01
"3,77",SEB,Rörlig,"11 230",2 mkr,inte bundet
"3,95",Swedbank,3 månader,"11 230","1,5 mkr",Mars 2012
"3,8",Nordea,Rörlig,"11 230","3,5 mkr",februari 2011
"3,41",SEB,3 månader,"11 230","0,44 mkr",juli 2011
"2,93",Swedbank,Rörlig,"11 231",,
"4,2",SBAB,Rörlig,"11 231",,
"3,33",SEB,2 år,"11231",,
"3,22",SEB,1 år,"11231",2295000,20111101
"4,09",SBAB,Rörlig,"11 231",420000,20120201
"3,18",Handelsbanken,2 år,"11231","2,045",2012-01-30
"3,16",SEB,2 år,"11231","1,8 mkr",2012-04-02
"4,2",Nordea,3 månader,"11 232",,
"3,56",SEB,3 månader,"11 232","1,6 mkr",20120320
"3,82",Skandiabanken,Rörlig,"11 232","1,2",1202229
"3,13",SEB,2 år,"11233","2,25 mkr",2011-11-30
"4,3",Swedbank,Rörlig,"11 233","3,3 mkr",jan 2012
"4,12",Swedbank,3 år,"11233",,
"4,05",Swedbank,3 månader,"11 233",,
"3,9",Swedbank,Rörlig,"11 233",,
"3,73",Handelsbanken,3 månader,"11 233",,
"3,91",Nordea,2 år,"11233",,
"3,8",Nordea,Rörlig,"11 233","1,4",2006-02-15
"3,8",Swedbank,3 månader,"11 233","1,9 mkr",20120101
"3,16",SEB,2 år,"11233","1,9",110901
"3,5",Nordea,Rörlig,"11 233","1,67",2011-12-01
"3,55",Nordea,2 år,"11233","1,67",2011-12-01
"2,75",Nordea,3 år,"11233",3500000,2009
"4,05",Nordea,3 månader,"11 233",700.0"0,00",20090801
"2,64",SEB,2 år,"11233","2,6 mkr",Oktober 2011
"4,35",Swedbank,Rörlig,"11 233","3,3 mkr",januari 2012
"3,8",SBAB,Rörlig,"11 233",2470,2002
"3,93",Handelsbanken,3 månader,"11 233","0,2 mkr",Mars 2011
"3,6",Handelsbanken,Rörlig,"11 233","0,46 mkr",Oktober 2011
"2,98",SEB,2 år,"11234",712500,September 2011
"3,11",SEB,3 år,"11234",712500,September 2011
"3,7",Danske Bank,3 månader,"11 234",,
"3,69",Swedbank,Rörlig,"11 234","2,26",71919
"3,44",Swedbank,3 månader,"11 234",04.0"7,00",2012-03-28
"3,76",SEB,3 månader,"11 234",495.0"0,00",Januari 2008
"2,42",Nordea,Rörlig,"11 234","2,5 mkr",Januari 2008
"4,05",Nordea,3 månader,"11 234","2,3 mkr",2010
"4,09",SBAB,3 månader,"11 235",1800000,FEB 2010
"4,09",SBAB,3 månader,"11 235","1,77",löpande
"3,2",Handelsbanken,2 år,"11235",4800000,April 2012
"4,5",Handelsbanken,1 år,"11235",,
"4,2",Swedbank,3 månader,"11 235",900000,20090325
"3,36",SEB,3 månader,"11 235","3,5 mkr",Januari 2012
"3,75",Nordea,Rörlig,"11 235","2,2 mkr",Mars 2012
"3,92",SEB,3 månader,"11 236",,
"3,62",Handelsbanken,3 månader,"11 236",,
"4,3",Swedbank,3 månader,"11 236",,
"3,18",Handelsbanken,Rörlig,"11 236",,
"3,65",Nordea,3 månader,"11 236","2,2 mkr",110425
"3,6",Handelsbanken,3 månader,"11 236","3,5",2012-03-22
"3,3",Länsförsäkringar,3 år,"11236","1,986",2012-03-28
"3,75",Swedbank,Rörlig,"11 236",2460000,nej
"3,75",Danske Bank,Rörlig,"11 236","1,95 mkr",Juni 2008
"3,85",Skandiabanken,3 månader,"11 237",,
5,Handelsbanken,3 år,"11237",,
"4,17",Swedbank,3 månader,"11 237",,
"4,3",Swedbank,2 år,"11237",,
"3,55",Danske Bank,Rörlig,"11 237",,
"3,3",Danske Bank,Rörlig,"11 237","5,7",20100701
"3,6",Swedbank,3 månader,"11 237","1,7 mkr",2012-01-01
"3,44",Nordea,3 månader,"11 237","2,1 mkr",20120125
"3,83",Handelsbanken,2 år,"11237","1,6",2011-06-01
"3,7",Nordea,Rörlig,"11 237","1,2 mkr",2011-01-01
"3,62",Swedbank,3 månader,"11 237",2100000,2011-10-30
"3,7",Nordea,3 månader,"11 237","2,2 mkr",120230
"3,9",Handelsbanken,Rörlig,"11 237","1,9",2011-07-30
"3,51",SEB,3 månader,"11 237","1,3 mkr",mars 2012
"3,35",SEB,2 år,"11237","1,5 mkr",Mars 2012
"4,23",Handelsbanken,3 månader,"11 238","1,6",20120201
"4,1",Nordea,3 månader,"11 238",2,2012-02-18
"3,7",SEB,3 månader,"11 238",10,110501
"3,67",Handelsbanken,3 månader,"11 238",2500000,2012-04-01
"3,38",SEB,3 månader,"11 238","2,5 mkr",2011-12-31
"3,36",SEB,1 år,"11238","1,9",juni 2011
"3,53",SEB,3 månader,"11 239",,
"3,7",Swedbank,3 månader,"11 239",2950000,120229
"4,15",Swedbank,3 månader,"11 239",2233000,2012-03-28
"3,74",Handelsbanken,3 månader,"11 239",3900000,2010-08-01
"3,16",SEB,3 månader,"11 239","1,33",2011-03-15
"4,18",Handelsbanken,3 månader,"11 239",2,oktober 2006
"3,5",Swedbank,3 månader,"11 239",3800000,februari 2012
"3,68",Swedbank,2 år,"11240",,
"2,76",SEB,2 år,"11240",,
"3,7",Handelsbanken,2 år,"11240",,
"3,16",SEB,3 månader,"11 240",,
"3,7",Nordea,3 månader,"11 240",,
"3,6",Nordea,3 månader,"11 240",,
4,Handelsbanken,3 månader,"11 240",,
"3,46",Swedbank,Rörlig,"11 240",,
"2,76",SEB,2 år,"11240",4 mkr,2011-12-10
"3,6",Danske Bank,3 månader,"11 240","2,73",2012-04-02
"3,98",Handelsbanken,1 år,"11240","1,5",2011-09-14
"3,63",Handelsbanken,3 månader,"11 240","2,2",120201
"3,4",Danske Bank,Rörlig,"11 241",,
"3,29",Skandiabanken,5 år,"11241","3,2",2010-09-10
"3,6",Danske Bank,Rörlig,"11 241","2,8 mkr",Inte bundet
"3,96",Nordea,3 månader,"11 241",,
"3,6",Handelsbanken,3 månader,"11 241",,
"3,26",SEB,1 år,"11241",,
"4,2",Swedbank,1 år,"11241",,
3,Handelsbanken,2 år,"11241",,
"3,4",Danske Bank,Rörlig,"11 241",,
"3,92",Handelsbanken,Rörlig,"11 241",,
"4,1",Nordea,3 månader,"11 241",,
"4,22",Länsförsäkringar,3 månader,"11 241","1,6",20120101
"3,82",Handelsbanken,3 månader,"11 241","2,4 mkr",2012-04-01
"2,96",SEB,1 år,"11241","2,72 mkr",121017
"3,36",SEB,3 månader,"11 241",3400000,2012-03-25
"3,56",SEB,3 månader,"11 241",2500000,20120315
"4,05",Handelsbanken,2 år,"11241","1,25",110615
"3,58",SEB,3 månader,"11 241","1,9 mkr",120321
"3,58",SEB,3 månader,"11 241","1,9 mkr",120321
"3,35",Swedbank,3 månader,"11 241","3,2 mkr",2012-02-01
"3,4",Handelsbanken,3 år,"11241","3,2 mkr",2010
"3,85",Länsförsäkringar,3 månader,"11 241",850000,februari 2010
"3,01",SEB,1 år,"11242",1,2011-09-28
"2,91",SEB,2 år,"11242","1,56",2011-09-28
"2,91",SEB,2 år,"11242","1,56",2011-09-28
"3,58",Handelsbanken,1 år,"11242",,
"3,3",Swedbank,2 år,"11242",,
4,Danske Bank,Rörlig,"11 242",,
"3,56",SEB,3 månader,"11 242",2 mkr,2012-03-21
"3,8",Swedbank,2 år,"11242","2,4 mkr",2011-12-06
"2,5",Handelsbanken,2 år,"11242","2,3 mkr",100601
"3,45",Danske Bank,Rörlig,"11242","3,8 mkr",2011-09-01
"3,94",SEB,Rörlig,"11 243",,
"3,5",Handelsbanken,1 år,"11243",,
"4,69",Swedbank,3 år,"11243","1,3 mkr",110601
"3,81",SEB,3 månader,"11 243",296 tSEK,2011-12-31
"3,28",SEB,1 år,"11243","1,0 mkr",maj 2011
"4,39",Handelsbanken,3 månader,"11 244","1,134",2012-03-01
"4,1",Nordea,Rörlig,"11 244",,
"3,8",Skandiabanken,3 månader,"11 244",,
"2,85",SEB,3 månader,"11 244",,
"4,26",SBAB,3 månader,"11 244","1,43 mkr",2012-04-02
"4,15",Swedbank,3 månader,"11 244",440 kkr,ej bundet
"3,75",Nordea,1 år,"11245","2,6",Maj 2011
"2,93",SEB,2 år,"11245",,
"4,3",Handelsbanken,5 år,"11245",,
"4,1",Nordea,1 år,"11245",,
"3,5",Nordea,3 månader,"11 245",,
"3,75",Nordea,2 år,"11245","1,5 mkr",111020
"3,5",Danske Bank,Rörlig,"11 245","3,5",Rörligt
"2,79",SEB,1 år,"11245","1,3",2011-10-01
"3,73",Handelsbanken,3 månader,"11 245",3000000,2012-03-19
"2,58",Handelsbanken,2 år,"11245",2200000,201100901
"3,5",Danske Bank,Rörlig,"11245","3,54",April  2011
"3,75",Handelsbanken,1 år,"11246",,
"4,5",Handelsbanken,Rörlig,"11 246",,
"3,1",Swedbank,2 år,"11246",,
4,Swedbank,3 månader,"11 246",,
"3,35",Swedbank,3 månader,"11 246",3150000,2011-09-30
"3,4",Danske Bank,Rörlig,"11 246",3300000,20120301
"3,3",Danske Bank,3 månader,"11 246","3,1",0
"3,75",Swedbank,3 månader,"11 246","2,0 mkr",120330
"3,56",SEB,3 månader,"11 246","1,4 mkr",2012-01-28
"3,56",SEB,3 månader,"11 246","1,4 mkr",2012-01-28
"3,76",Handelsbanken,3 månader,"11246",2600000,April 2012
"2,94",SEB,2 år,"11246","1,5",September 2011
"3,48",Nordea,3 månader,"11 247","1,5",Juni 2011
"2,6",Skandiabanken,2 år,"11247",,
"3,5",SEB,1 år,"11247",,
"4,3",Nordea,Rörlig,"11 247",,
"3,98",Handelsbanken,3 månader,"11 247",380000,2012-02-01
"3,78",Handelsbanken,1 år,"11247","1,9 mkr",20110530
"2,75",Swedbank,Rörlig,"11 247",01.3"5,00",120403
"3,17",Nordea,3 år,"11247","2,16 mkr",2012-03-26
"4,3",Nordea,3 månader,"11 247",2.2 mkr,dec 2012
"3,84",SBAB,Rörlig,"11 247","2,2",Mars 2012
"3,84",SBAB,Rörlig,"11 247","2,2",Mars 2012
3,Handelsbanken,3 månader,"11 247","1,2",december 2011
"3,95",Skandiabanken,Rörlig,"11 247","1,484",December 2010
"4,3",Nordea,Rörlig,"11 247",2500000,oktober 2011
"3,42",SEB,3 månader,"11 248",,
"3,55",Swedbank,3 år,"11248",,
"3,55",Swedbank,3 år,"11248",,
"3,7",Länsförsäkringar,2 år,"11248",,
"3,8",Skandiabanken,Rörlig,"11 248",,
"3,55",Handelsbanken,3 månader,"11 248",,
"4,48",SBAB,3 månader,"11 248",,
"3,12",SEB,2 år,"11248",,
"3,9",Danske Bank,3 månader,"11 248",,
"3,58",Handelsbanken,3 månader,"11 248","1,975 mkr",120401
"3,26",SEB,1 år,"11248","1,6",2011-08-01
"3,48",Handelsbanken,2 år,"11248","2,5",111001
"3,4",Danske Bank,Rörlig,"11 248","5,9 mkr",-
"4,22",Länsförsäkringar,3 månader,"11 249",,
"3,4",Danske Bank,Rörlig,"11 249","4,1 milj",rörligt
"3,4",Nordea,3 månader,"11 249",1675000,2011-11-30
"3,8",Nordea,3 månader,"11 249","3,35 mkr",120327
"3,84",SBAB,Rörlig,"11 249","1,2",har inte bundit
"3,7",Swedbank,Rörlig,"11 250",,
"3,15",Danske Bank,3 år,"11250",,
4,Danske Bank,Rörlig,"11 250",,
"4,2",Swedbank,2 år,"11250",570000,2011-08-01
"3,78",Handelsbanken,3 månader,"11 250","1,8 mkr",2010
"3,42",Swedbank,3 månader,"11 252",,
"3,36",SEB,3 månader,"11 252",,
"3,85",Danske Bank,Rörlig,"11 252","2,45 mkr",rörligt
"4,45",Swedbank,3 månader,"11 252","1,5 mkr",Mars 2010
"3,99",Handelsbanken,2 år,"11253",,
"3,77",SEB,3 månader,"11 253",,
"4,1",Nordea,Rörlig,"11 253",,
"4,74",Swedbank,3 månader,"11 253",,
"4,74",Swedbank,3 månader,"11 253",,
"3,46",SEB,Rörlig,"11 253","1,6 mkr",2011-01-01
"4,6",Swedbank,3 månader,"11 253",800000,30701
"3,45",Nordea,2 år,"11253","1,5",120320
"3,45",Handelsbanken,2 år,"11253",2 mkr,20111001
"4,34",Länsförsäkringar,Rörlig,"11 253","1,8 mkr",120331
"3,25",Nordea,2 år,"11253","2,3",2012-03-28
"3,75",Swedbank,3 år,"11253","2,8 mkr",110201
"3,7",SEB,3 månader,"11 253",900000,Jan 2012
"4,2",Swedbank,3 månader,"11 253",719000,Mars 2003
"3,58",Nordea,Rörlig,"11 254",,
"4,43",Handelsbanken,3 månader,"11 254","2,6mkr",20090901
"4,43",Handelsbanken,3 månader,"11 254","2,6mkr",20090901
"3,8",Handelsbanken,Rörlig,"11 254","1,0 mkr",Rörligt
"3,8",Handelsbanken,Rörlig,"11 254",1 miljon,April 2012
"4,15",Handelsbanken,3 månader,"11 254","1,5 mkr",Augusti 2011
"3,9",Handelsbanken,3 månader,"11 255","1,2mkr",Januari 2012
"3,47",Nordea,2 år,"11255","1,7 mkr",2011-08-27
"3,7",SEB,Rörlig,"11 255",,
"3,7",SEB,Rörlig,"11 255",,
"3,7",SEB,Rörlig,"11 255",,
"4,1",Nordea,Rörlig,"11 255",,
"3,73",Handelsbanken,3 månader,"11 255",,
"3,4",Handelsbanken,2 år,"11255",,
2,Swedbank,2 år,"11255",,
"3,5",Handelsbanken,2 år,"11255",,
"3,75",Handelsbanken,3 månader,"11 255",,
"3,91",SEB,3 månader,"11 255",,
"3,37",SEB,3 månader,"11 255","1,7 mkr",20120321
"4,03",Nordea,3 månader,"11 255","0,3 mkr",2009-11-23
"3,62",Handelsbanken,2 år,"11255",2 mkr,2012-02-01
"4,3",SBAB,3 månader,"11 255","1,5",120301
"4,03",Nordea,3 månader,"11 255","0,3 mkr",2009-11-23
"3,75",Nordea,Rörlig,"11 255","1,8 mkr",20120215
"4,15",Swedbank,Rörlig,"11 255","1,2 mkr",-
"3,3",SBAB,2 år,"11255","1,6 mkr",2011-10-01
"2,54",SEB,1 år,"11255","1,55 mkr",20110928
"3,89",Handelsbanken,1 år,"11255","1,5 mkr",2012
"3,89",Handelsbanken,1 år,"11255","1,5 mkr",2012
"4,17",Handelsbanken,Rörlig,"11 256",,
"4,1",Nordea,2 år,"11256",,
"4,2",Nordea,3 månader,"11 256",,
"4,37",Swedbank,3 månader,"11 256",,
"4,39",Handelsbanken,Rörlig,"11 256",,
"3,51",SEB,3 månader,"11 256","1,4 mkr",2012-02-25
"3,9",Skandiabanken,3 månader,"11 256","1,8 mkr",2012-02-01
"3,56",SEB,Rörlig,"11 258",,
"3,5",Swedbank,3 månader,"11 258",,
"3,47",Nordea,3 månader,"11 258","1,4 mkr",120315
"4,07",Handelsbanken,Rörlig,"11 258","1,5 mkr",Februari 2012
"3,83",Handelsbanken,3 månader,"11 258",2.2mkr,mars 2012
"3,85",Länsförsäkringar,3 månader,"11 259",,
"4,2",Nordea,3 månader,"11 259",,
"3,96",SEB,3 månader,"11 259",,
"3,7",Swedbank,3 månader,"11 259","1,25 mkr",2012-03-02
"3,36",SEB,3 månader,"11 259","1,8 mkr",2012-03-20
"3,98",Handelsbanken,1 år,"11259","1,4",2012-01-12
"4,06",Handelsbanken,3 månader,"11 259",1060000,90101
"3,85",SEB,3 månader,"11 260",,
"3,85",Nordea,3 månader,"11 260",,
"3,85",Nordea,3 månader,"11 260","2,2",2012-02-15
"3,71",SEB,3 månader,"11 260","0,5mkr",2011-12-21
"3,82",Handelsbanken,3 månader,"11 260","0,6 mkr",mars 2012
"3,82",Handelsbanken,3 månader,"11 260","0,6 mkr",mars 2012
"3,03",Handelsbanken,3 år,"11260","0,4 mkr",sep 2010
"4,5",Nordea,3 månader,"11 260","1,0 mkr",Januari 2012
"3,28",SEB,3 månader,"11 260",10000,April 2012
"3,61",Swedbank,3 månader,"11 260","2,8",juni 2011
"3,64",SEB,3 månader,"11 261",,
"3,82",Handelsbanken,Rörlig,"11 261","2,2",120403
"3,8",Skandiabanken,3 månader,"11 261","2,5",Mars 2012
"3,7",Handelsbanken,Rörlig,"11 262",2800000,2012-03-04
"3,7",Handelsbanken,Rörlig,"11 262",2800000,MARS 2012
